Date,ID,Customer_Name,Product_ID,Product,Sales
9/6/19,C191,Nicholas Ward,847676762-5,Linux Consulting,190
11/26/19,C126,Nicholas Williamson,847676762-5,Linux Consulting,32
2/20/19,C085,Ralph Kelley,281914369-5,Web Hosting,67
12/3/19,C173,Adam Wheeler,094714157-X,Consulting,486
7/16/19,C126,Nicholas Williamson,782417101-9,AWS Consulting,48
6/27/19,C060,Thomas Sims,788959641-3,Networking,563
3/6/19,C075,Paul Chapman,094714157-X,Consulting,370
9/5/19,C101,Charles Hughes,094714157-X,Consulting,20
11/24/19,C191,Nicholas Ward,542176934-8,Financial Reporting,360
10/9/19,C119,Thomas Duncan,847676762-5,Linux Consulting,178
7/1/19,C253,Clarence Austin,782417101-9,AWS Consulting,115
6/16/19,C151,Antonio Morris,941254104-X,Element Training,358
8/9/19,C198,Victor Dean,847676762-5,Linux Consulting,875
10/10/19,C227,Ralph Banks,847676762-5,Linux Consulting,188
5/8/19,C134,Roy Murphy,949632246-8,Azure Consulting,579
7/26/19,C217,Jimmy Harper,782417101-9,AWS Consulting,674
7/16/19,C145,Randy Simpson,542176934-8,Financial Reporting,936
6/8/19,C010,Bobby Burton,271951398-9,Power BI Consulting,166
3/27/19,C137,Charles Bell,542176934-8,Financial Reporting,406
7/22/19,C112,Jason Gray,542176934-8,Financial Reporting,191
11/13/19,C027,Chris Armstrong,281914369-5,Web Hosting,729
10/21/19,C159,Steven Howard,847676762-5,Linux Consulting,108
4/23/19,C112,Jason Gray,782417101-9,AWS Consulting,897
1/14/19,C039,Anthony Berry,733547075-7,Web Design,955
7/28/19,C231,Gary Baker,733547075-7,Web Design,805
7/5/19,C184,Willie Mason,847676762-5,Linux Consulting,876
1/3/19,C033,Jonathan Hawkins,094714157-X,Consulting,752
10/5/19,C092,Wayne Ortiz,847676762-5,Linux Consulting,58
3/15/19,C162,John Robertson,788959641-3,Networking,868
6/14/19,C177,Todd Watson,782417101-9,AWS Consulting,966
12/9/19,C232,George Ellis,281914369-5,Web Hosting,868
12/14/19,C080,Clarence Greene,941254104-X,Element Training,758
11/27/19,C089,Patrick Rivera,542176934-8,Financial Reporting,774
10/2/19,C010,Bobby Burton,281914369-5,Web Hosting,384
1/15/19,C124,Thomas Gonzales,542176934-8,Financial Reporting,553
11/18/19,C198,Victor Dean,271951398-9,Power BI Consulting,288
9/7/19,C157,Aaron Johnson,281914369-5,Web Hosting,787
12/22/19,C177,Todd Watson,542176934-8,Financial Reporting,846
12/11/19,C146,Russell Boyd,281914369-5,Web Hosting,850
9/10/19,C201,Steve Sanchez,271951398-9,Power BI Consulting,484
11/29/19,C005,Gregory Simmons,788959641-3,Networking,130
7/23/19,C076,Eric Armstrong,788959641-3,Networking,336
8/24/19,C088,Peter Gilbert,094714157-X,Consulting,264
6/27/19,C210,Samuel Palmer,271951398-9,Power BI Consulting,986
2/5/19,C011,Bruce Porter,733547075-7,Web Design,670
7/14/19,C028,Stephen Payne,941254104-X,Element Training,664
5/13/19,C117,Jason Hudson,271951398-9,Power BI Consulting,539
8/25/19,C006,Jeremy Vasquez,271951398-9,Power BI Consulting,550
11/28/19,C252,Roger Tucker,094714157-X,Consulting,77
6/20/19,C220,Carl Collins,094714157-X,Consulting,553
9/16/19,C021,Paul Larson,847676762-5,Linux Consulting,910
6/2/19,C241,Michael Allen,733547075-7,Web Design,551
6/6/19,C041,Shawn Wallace,281914369-5,Web Hosting,901
9/3/19,C227,Ralph Banks,281914369-5,Web Hosting,741
1/22/19,C102,Philip Bailey,782417101-9,AWS Consulting,447
9/24/19,C019,Shawn Long,941254104-X,Element Training,896
9/3/19,C172,Joshua Romero,733547075-7,Web Design,301
8/28/19,C185,Eric Bowman,281914369-5,Web Hosting,506
3/14/19,C034,Joshua Little,782417101-9,AWS Consulting,648
4/12/19,C080,Clarence Greene,281914369-5,Web Hosting,97
5/13/19,C223,Scott Mills,949632246-8,Azure Consulting,592
10/30/19,C188,Nicholas Morrison,847676762-5,Linux Consulting,310
3/22/19,C144,Louis Johnston,941254104-X,Element Training,424
11/10/19,C247,Ronald Bradley,271951398-9,Power BI Consulting,498
12/6/19,C144,Louis Johnston,094714157-X,Consulting,442
6/12/19,C013,Bruce Butler,788959641-3,Networking,783
8/28/19,C133,Jose Riley,733547075-7,Web Design,163
12/8/19,C112,Jason Gray,094714157-X,Consulting,998
10/16/19,C059,Douglas Diaz,281914369-5,Web Hosting,33
10/29/19,C221,Ryan Ford,782417101-9,AWS Consulting,948
11/14/19,C238,Terry Payne,271951398-9,Power BI Consulting,152
6/24/19,C040,Frank Brown,941254104-X,Element Training,800
11/10/19,C142,Phillip Harvey,847676762-5,Linux Consulting,586
10/17/19,C179,Matthew Nguyen,094714157-X,Consulting,639
9/14/19,C078,Eugene Brooks,941254104-X,Element Training,221
1/11/19,C136,Jeremy Allen,281914369-5,Web Hosting,474
4/24/19,C026,Jerry Green,094714157-X,Consulting,207
5/20/19,C079,Michael Lewis,281914369-5,Web Hosting,201
5/11/19,C206,Eric Shaw,847676762-5,Linux Consulting,618
1/16/19,C069,Nicholas Stanley,782417101-9,AWS Consulting,316
8/6/19,C126,Nicholas Williamson,788959641-3,Networking,771
10/19/19,C142,Phillip Harvey,094714157-X,Consulting,449
7/17/19,C043,Anthony Torres,094714157-X,Consulting,187
6/16/19,C016,Phillip Peters,281914369-5,Web Hosting,912
9/19/19,C128,Richard Cunningham,949632246-8,Azure Consulting,332
8/10/19,C143,Justin Rodriguez,847676762-5,Linux Consulting,904
11/9/19,C085,Ralph Kelley,271951398-9,Power BI Consulting,675
7/10/19,C088,Peter Gilbert,847676762-5,Linux Consulting,31
9/22/19,C178,Wayne Stone,847676762-5,Linux Consulting,499
3/16/19,C056,Aaron Day,788959641-3,Networking,235
6/12/19,C227,Ralph Banks,949632246-8,Azure Consulting,489
11/19/19,C086,Joshua Williams,094714157-X,Consulting,544
7/5/19,C029,Joshua Bennett,847676762-5,Linux Consulting,317
7/2/19,C240,Carlos Hunt,281914369-5,Web Hosting,877
11/15/19,C263,Jesse Alvarez,949632246-8,Azure Consulting,481
11/27/19,C118,Sean Olson,094714157-X,Consulting,942
10/15/19,C102,Philip Bailey,847676762-5,Linux Consulting,208
11/21/19,C111,Howard Morgan,281914369-5,Web Hosting,155
4/10/19,C188,Nicholas Morrison,542176934-8,Financial Reporting,157
3/31/19,C221,Ryan Ford,094714157-X,Consulting,805
5/24/19,C234,Louis Harris,281914369-5,Web Hosting,269
6/12/19,C037,Paul Holmes,788959641-3,Networking,289
9/27/19,C031,George Lewis,542176934-8,Financial Reporting,25
